Model,R-Squared,RMSE
Ridge Regression,0.9994116128281595,0.000401986772694719
Gradient Boosting Regressor,0.997842827251486,0.0007697020225593673
Random Forest Regressor,0.9967553873646681,0.0009439773909449804
ElasticNet Regression,0.9174276745136851,0.004762088070863969
Decision Tree Regressor,0.8711342625009845,0.005949067504659774
Lasso Regression,0.6949329495192554,0.009153302531074409
