Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily Return,Volatility,ROI,Sharpe Ratio
2024-01-29 00:00:00-05:00,393.486875088947,401.3966622382712,391.60408320052903,399.4939270019531,18742400,0.0,0.0,-0.002393852023934384,0.015840878226860665,-0.002393852023934384,-0.8582254243357156
2024-01-30 00:00:00-05:00,402.0541632759467,404.8136112931939,398.0494720449054,398.53759765625,18614700,0.0,0.0,-0.002393852023934384,0.015840878226860665,-0.002393852023934384,-0.8582254243357156
2024-01-31 00:00:00-05:00,387.5196885852341,396.48543973502103,385.626924978346,388.6553649902344,20180800,0.0,0.0,-0.0247962368522614,0.015840878226860665,-0.0247962368522614,-0.8582254243357156
2024-02-01 00:00:00-05:00,392.4409101302402,398.9759443902595,391.55428232778945,393.2777099609375,29727100,0.0,0.0,0.011893171655611212,0.01849368625717936,0.011893171655611212,-0.2757142267881868
2024-02-02 00:00:00-05:00,457.8510454730808,484.1107206070922,451.28612668957794,473.1824645996094,84615500,0.0,0.0,0.20317641354911387,0.10522675540484124,0.20317641354911387,0.4463681684513039
2024-02-05 00:00:00-05:00,468.09190134825633,470.10420340045386,457.47246376690913,457.6617431640625,40832400,0.0,0.0,-0.032800711346478106,0.0978630257027513,-0.032800711346478106,0.3169302887754294
2024-02-06 00:00:00-05:00,462.2342778467363,465.3424000231986,451.2761376391627,452.9895935058594,21655200,0.0,0.0,-0.010208739812731626,0.08913462082314431,-0.010208739812731626,0.27088248432813816
2024-02-07 00:00:00-05:00,456.2571175026523,469.72565727567735,454.4440360712511,467.8030090332031,23066000,0.0,0.0,0.032701447758870295,0.08143264789902029,0.032701447758870295,0.31151334000651776
2024-02-08 00:00:00-05:00,466.5378566875538,468.7992074574978,463.26036798105713,468.2114562988281,18815100,0.0,0.0,0.0008731180811965,0.07588772590250752,0.0008731180811965,0.2939286440712313
2024-02-09 00:00:00-05:00,471.15022162626246,471.78777032551,465.6910645820025,466.32861328125,18413100,0.0,0.0,-0.00402135187477437,0.07152685146505136,-0.00402135187477437,0.2709522609916279
2024-02-12 00:00:00-05:00,466.4083414662073,477.3266255183887,464.8044523883876,467.1156311035156,19382000,0.0,0.0,0.0016876893243327196,0.0676678583210428,0.0016876893243327196,0.2602579020949731
2024-02-13 00:00:00-05:00,455.13141666051735,466.1095004797401,453.35819150952534,458.3690490722656,20916600,0.0,0.0,-0.018724661408968557,0.06512350767803671,-0.018724661408968557,0.21970321912030494
2024-02-14 00:00:00-05:00,466.1493262626268,472.3058015200687,464.3163318688956,471.4789733886719,16858400,0.0,0.0,0.028601242476865796,0.062229771194655475,0.028601242476865796,0.24906022465392905
2024-02-15 00:00:00-05:00,473.4713769246856,486.7606094833743,470.42302382509234,482.1880798339844,24212300,0.0,0.0,0.022713857986799812,0.05961406376501412,0.022713857986799812,0.2692980795428742
2024-02-16 00:00:00-05:00,476.2905795297128,477.1373510091864,467.4244537832478,471.5188293457031,23306500,0.0,0.0,-0.022126740445252424,0.05817723479574795,-0.022126740445252424,0.22907174175041706
2024-02-20 00:00:00-05:00,467.9325296409097,474.36793825705894,464.7845510505949,469.9548034667969,18015500,0.0,0.0,-0.003316995592894001,0.05622545522025005,-0.003316995592894001,0.217289068041781
2024-02-21 00:00:00-05:00,465.21785865489875,467.710987586597,460.520812269016,466.74365234375,12977100,0.5,0.0,-0.006832893502435988,0.05452733199033404,-0.006832893502435988,0.20222055565217942
2024-02-22 00:00:00-05:00,478.9200883885395,488.6432912803049,474.7515840939021,484.7939147949219,21625800,0.0,0.0,0.03867275400647152,0.053219945848544864,0.03867275400647152,0.23774535318643691
2024-02-23 00:00:00-05:00,486.7086476424972,493.0013030163017,481.024331590762,482.69970703125,18374300,0.0,0.0,-0.004319789708082,0.051785682208763034,-0.004319789708082,0.22612183445453235
